num_guests,duration_days,num_sub_events,is_vegetarian,season,actual_food_kg
591,6,1,0,2,3798.340709298368
203,2,1,1,4,444.871750295199
1012,3,1,0,3,3798.332291085552
1489,7,4,0,2,13803.387125616542
1663,7,6,0,4,12237.4499412203
510,6,2,1,2,2791.358687931301
389,7,3,1,4,2526.7616583292906
1460,3,6,1,3,4553.624236325624
1061,4,1,0,4,5349.159665018151
1286,3,1,0,2,5158.705398387738
1762,7,5,0,3,14886.932728980466
1612,7,2,1,4,13124.122705672795
421,5,4,1,1,2169.3984487732873
886,3,3,0,2,2987.0836215051
1470,4,3,1,1,6033.369773745716
694,3,3,0,4,2715.776044648654
1739,1,6,1,4,1577.4444886276292
1111,3,5,1,4,3722.0183916373367
466,3,5,0,3,1622.189126557525
1480,4,1,0,2,7412.146084550317
686,5,1,1,1,3285.034808794202
1773,1,4,0,2,2093.384172322977
1517,3,5,1,4,5183.193116866902
1017,2,4,0,4,2190.274254396479
1277,5,6,0,1,7060.108387618822
1667,7,4,1,3,13240.851565372946
629,6,3,1,2,3863.15914881947
1041,3,3,1,4,3647.8423855958313
1830,2,6,0,4,3994.2580114930124
1638,4,1,1,4,7210.165963713319
1711,4,4,0,4,9158.14972897105
308,5,5,1,1,1771.9771932849594
951,1,5,1,1,1051.3930917658452
889,7,6,0,1,7286.841003350696
592,3,5,1,1,2031.6983422868045
1795,6,5,1,3,11601.00626590106
1867,7,4,0,1,14267.884153646355
1451,3,2,0,4,5844.725144193612
1607,6,6,0,4,10303.905129854575
663,1,1,1,1,648.5003421330853
817,4,2,0,4,3933.0403558901826
1673,2,2,0,1,4076.108837638553
833,5,6,0,4,5500.214837461612
343,2,4,1,4,663.2467741737623
69,7,4,1,2,440.9485634574785
1985,3,5,1,4,6526.8176391099205
985,7,3,0,4,8966.952445768418
268,2,4,1,3,635.6046318090531
654,1,6,1,3,584.2869326735804
1821,6,6,0,4,14133.689263517375
1899,3,2,1,2,6153.190179146872
1321,3,6,0,1,5220.851246743896
1373,1,3,1,1,1459.6821859269328
1549,2,1,1,3,3448.0796287149856
409,2,2,1,3,930.5980010334212
576,7,4,1,3,4555.5836819090555
1009,1,2,0,4,1351.004121571185
1697,5,3,0,4,8630.921178629262
1148,1,4,1,3,1222.177270609356
1734,6,3,0,2,12189.570300386626
1318,5,3,0,1,8085.592748858834
1000,6,3,1,1,5595.082636287868
1987,1,3,1,1,1827.773788874683
1867,5,2,1,4,9346.112571629805
1994,6,6,1,2,13806.071881640648
1391,1,4,1,3,1252.8969814395653
808,2,4,1,2,1850.4310311775798
253,6,3,1,1,1532.0376653727296
438,1,4,0,2,538.3349628687504
1272,1,1,1,2,1506.912716374606
1661,5,2,0,2,10052.407634336396
1715,7,2,1,2,13508.352476220503
1270,1,3,0,2,1517.4248501979685
1685,2,1,0,2,3429.0267646840275
1667,7,2,1,1,11000.962840489978
157,2,6,1,1,349.31325221912044
1025,4,3,0,4,4848.43678699113
1986,5,1,1,4,10744.976779265671
113,1,4,1,4,123.7091180653446
1054,6,4,0,1,7090.549362475572
353,1,2,1,3,354.4573980765325
1273,5,3,1,4,5858.7024598503685
1487,1,6,0,4,1732.205979013626
517,4,3,1,4,2098.087179232009
244,3,4,1,3,733.5865396989794
362,6,4,0,1,2808.8803828464925
240,4,1,1,2,1013.9924241386486
1251,5,5,1,1,6336.378575681646
1839,6,4,0,3,13407.837169468417
770,1,5,0,2,950.2943467390461
509,7,1,1,3,3296.2059025162216
620,5,2,1,1,3322.8016187497074
1397,7,6,1,1,9237.08276400844
1489,7,3,1,3,9305.794270957438
1831,2,5,1,1,3417.1468601000784
1346,1,1,0,4,1553.5444061048697
748,2,3,1,3,1678.0933879786628
1212,5,1,0,2,6457.692592058404
1315,1,6,0,3,1528.0965769199777
918,4,5,1,4,3569.663389794708
1596,5,1,1,4,7372.995413502539
1438,6,5,1,3,7803.930718351648
859,5,1,0,2,4785.61370395585
482,7,2,1,3,3335.03819419348
65,4,6,1,2,241.63571988984654
1140,6,2,1,1,6901.0821490599
1569,1,4,0,4,2076.4025526603214
1815,3,5,1,4,5998.871888185626
905,3,1,1,1,3198.1649518630165
401,7,5,1,3,2574.5090313105397
1779,1,2,1,4,1861.9314211074427
860,7,3,1,2,5959.326712900371
394,1,5,0,2,519.3900752318573
765,3,6,0,2,2403.3160320468633
574,2,2,0,1,1230.9852676606042
1632,6,4,1,4,10705.560728838678
1856,5,6,1,3,8684.542751423545
189,4,4,1,3,806.3886608407828
770,5,1,1,4,3947.0909074485453
166,3,3,0,1,607.5925348829476
1088,4,4,0,4,5741.612576215399
1220,6,2,1,4,7612.112568963603
176,4,1,1,1,732.7591416258323
403,1,2,1,4,421.7992891974913
1298,2,3,1,3,2611.738816391037
1636,3,6,0,3,5078.529691021638
243,5,6,1,3,1173.4989389839614
1794,6,5,0,3,11194.634495100045
1409,2,3,1,4,2618.7635745837492
1501,1,3,1,3,1699.906337070287
1422,6,6,0,4,10102.868021078795
87,3,3,0,2,294.36484795177523
1619,4,2,0,2,6895.605917245938
655,7,1,0,3,5998.475540961609
1315,2,5,1,2,2470.06291983441
1752,6,5,0,4,10798.411995897026
796,6,6,0,4,5819.918760924602
1590,6,4,0,2,10655.659259958042
1706,7,4,0,3,14825.139785412977
1218,4,4,1,4,5068.649936075463
907,2,2,0,3,1868.6207800514685
1034,7,3,0,1,8024.83405731948
1612,2,3,1,2,3668.334502404185
237,2,4,1,1,480.74235660738805
861,5,3,0,4,5803.795677514785
817,2,1,1,1,1863.144574025337
1381,3,2,0,1,4595.920203285744
1749,4,6,0,4,8142.665370293182
60,1,1,1,2,68.33904242921203
1173,6,5,1,1,7893.280787580913
536,3,1,0,2,1855.9393225949937
1675,5,4,0,1,10844.637635273519
1073,5,5,0,2,6733.1217325295165
646,4,1,1,2,2740.2987275339806
433,6,6,0,3,2689.8179223095485
1127,5,5,0,4,7366.3501464346145
139,6,4,1,3,928.2028250968841
781,7,1,1,2,6061.172603588385
1336,1,5,1,2,1207.9680464300325
1168,3,6,0,4,4707.716769113894
1030,6,2,0,1,7750.740978881263
1982,4,1,1,2,7166.994957567381
458,1,3,1,4,542.6244047025324
1162,4,3,0,2,5154.922161851714
1815,7,1,1,3,11789.847128984233
803,4,4,1,4,3185.3207381827633
432,4,6,1,3,2014.0189204404237
1113,3,1,1,1,3402.0747923202343
1734,2,5,1,3,3195.6634346239466
721,6,3,1,4,4628.727524984085
922,2,6,1,3,1887.8826064522907
1538,7,3,1,3,11637.210399238327
1670,1,1,1,3,1742.4555347942232
1585,6,2,0,2,12352.785234014178
1438,7,4,0,2,10420.235223496828
1644,6,3,1,4,11570.390446700309
116,5,2,1,3,580.86302457536
1612,1,5,0,3,1848.7004227004302
1380,3,2,0,1,5219.67169740763
1072,5,4,0,3,6828.910750708463
1491,4,2,1,4,5668.501496824299
327,7,1,1,2,2650.4506615364958
961,1,6,1,3,1058.7659171265864
1176,5,3,1,2,6482.154946874037
1949,6,6,0,3,13848.094018373044
298,2,2,0,4,608.7370319924826
1184,5,3,1,2,6350.672089093905
226,1,3,1,4,236.6517437435194
1625,4,5,0,2,8714.408036008324
1365,1,4,1,3,1268.2424928690823
1747,7,5,0,2,14167.402546068472
1915,7,1,0,2,14948.47895501276
381,3,6,0,3,1522.7909635635317
1112,3,1,1,2,3601.585485690248
1178,3,2,1,1,3676.29376757414
395,5,5,0,2,2438.7741309148587
1525,5,3,0,1,7929.334440639656
1992,6,5,1,2,13371.74011174867
903,5,6,0,4,5926.102060412935
1167,3,6,1,4,3374.0143168590384
1703,6,4,1,4,9325.692597260246
172,2,4,1,4,353.95512637559045
746,5,2,1,3,4136.783830370025
1812,3,4,0,3,6448.758302993949
267,3,2,1,1,777.3217089376267
557,2,1,0,3,1483.3660850340927
1819,5,4,0,2,11705.708592011293
1962,5,6,1,2,10964.117544962653
1070,5,4,1,3,5557.14649535884
234,4,5,1,2,893.7844283069147
772,1,1,1,4,824.8534938922996
1776,6,6,1,3,11193.032057453574
1785,1,4,0,3,2245.5906389200736
1614,4,3,0,4,6648.167485038837
1200,2,3,1,1,2413.7894424455862
972,7,5,1,1,6322.365435944077
248,4,3,1,3,1106.3028589215921
457,5,5,1,1,2066.679893635018
330,6,3,1,4,1851.7660472108244
1879,5,2,1,3,8824.376896141113
1312,6,3,1,4,8670.97432760915
663,4,1,1,3,2893.6515621930166
903,5,3,0,4,4976.056099009305
1392,7,5,0,1,11784.774648898867
399,5,6,1,2,2264.3916399126197
546,1,5,0,2,556.314683397281
692,4,2,1,2,2803.6576266945585
1637,5,4,0,2,9720.142454234088
1198,3,6,1,4,3537.1591714395236
404,4,5,1,3,1764.2404750553821
1826,6,6,1,4,10387.410532407366
554,3,5,1,2,1945.5724464648838
659,7,3,0,4,5164.259272909911
764,5,6,1,3,3541.891047917995
1435,5,4,1,3,8427.17262266562
1697,2,3,0,3,4530.712980758629
211,3,4,1,4,604.2327339052855
1745,5,3,1,2,8057.016571489678
1567,5,2,0,1,9704.187826291396
1137,2,6,0,1,2379.3244286183153
726,6,4,0,2,4418.067503435442
1177,2,4,1,4,2552.23031995959
1598,3,3,1,1,5564.190984713036
233,6,5,0,1,1846.3596153141784
408,4,2,0,4,2086.4087149356114
431,6,3,0,1,2878.754261660598
1284,1,3,1,4,1521.2351047193947
1162,5,4,0,4,6417.624412182375
1706,1,3,0,4,2100.5914908953137
1521,2,1,1,3,3223.3975721455363
1600,2,2,1,4,3340.9227382753897
227,4,6,0,2,1220.1874272234033
1027,3,2,0,3,3518.3675354645875
964,7,3,1,3,7179.810209993432
1223,1,3,1,2,1112.2584831642407
292,4,3,0,4,1453.0502209610759
1940,6,3,0,3,13229.396223336877
502,2,2,1,2,1030.233180476141
1290,3,4,1,2,4323.843828598591
1443,7,5,0,4,12027.850895113874
790,1,5,0,1,1020.8468821366652
1899,5,2,0,2,10665.160977497259
1115,4,1,0,4,4652.639910310903
1095,4,1,1,2,4570.243589307288
985,5,1,1,3,5446.134854762027
860,3,1,0,1,2651.6860957252566
755,6,1,0,1,6094.305585161791
1016,1,3,1,2,1137.294857828691
1618,6,6,1,3,11512.507602129883
833,4,4,1,1,3644.4446893403024
1405,7,5,0,3,10351.718055084606
1150,4,5,0,2,5953.56055211568
1598,1,3,1,4,1676.276882194213
1736,2,2,1,3,3253.5106781057543
436,6,1,0,4,3191.615699644749
1967,1,2,0,1,2058.5690441953743
118,4,5,0,2,595.868193801842
873,4,2,0,1,3700.8067820516712
642,2,6,1,3,1234.386879854033
1844,2,6,0,4,4108.133537141861
174,5,5,0,4,1044.0866517994675
146,3,6,1,3,480.8379754732103
886,2,3,1,2,1975.8891213188695
1019,2,2,1,2,2303.583028742348
1923,1,5,1,4,2031.676743497109
324,4,2,1,2,1281.8581894018416
211,4,3,0,2,869.2302088031269
822,6,5,0,1,5306.8572109157685
1609,5,6,0,4,8712.735542123462
1907,3,3,0,2,7602.015714282019
1568,1,6,1,2,1721.0383787476674
1491,2,4,0,3,3799.77155875603
829,4,5,1,3,3212.1554918537195
1100,4,4,0,4,5586.019019424921
705,2,3,1,4,1275.4542581510432
1819,2,6,0,1,4003.6599714999634
1964,5,5,1,3,9194.13397425846
725,2,4,0,4,1737.5956893505436
1982,6,3,1,4,14009.405745299902
1364,6,4,1,2,9073.05537238039
771,2,2,1,2,1793.838081095888
1160,6,1,0,1,9267.24687321091
1418,1,1,1,2,1618.2723373121285
523,1,6,0,1,568.1442561841061
983,3,1,1,4,2641.3377152077073
1139,5,4,0,1,6783.76130583258
612,5,3,0,4,3930.8196910879574
1913,2,1,0,2,4184.982028945626
1319,5,3,1,3,7433.198717696868
211,3,4,1,2,750.1678001813003
512,3,6,0,1,1603.670662013414
826,4,5,1,1,3568.6972455658415
1489,2,1,1,4,3223.7965286526246
728,5,1,0,2,3945.225853154166
1827,6,5,1,3,9918.734460011483
202,6,3,0,2,1607.0618800712186
694,1,2,0,4,920.2407328808359
662,2,5,0,4,1643.0830745019953
1157,3,4,0,1,4101.047545961658
758,1,1,1,2,864.1854709698237
747,5,5,1,3,3360.748595339577
609,7,4,1,2,4248.829471338549
1977,4,4,0,4,8235.563315266565
1316,3,2,0,1,4354.4093325655285
828,6,6,0,4,5561.074386030333
268,1,1,1,4,267.43599311882355
602,1,2,0,2,697.0892631584318
1190,5,5,1,1,5347.858723677097
774,5,1,1,4,3462.354179341469
897,4,1,0,2,4462.733400263618
397,2,3,1,3,823.741501804263
179,2,4,1,4,350.8494581504641
1652,1,3,1,2,1825.6369909506216
1065,5,5,0,4,5583.811901861803
673,1,4,1,4,760.3626072925036
724,4,3,1,2,2838.7439935759303
1285,6,2,1,3,7276.376258475561
865,3,3,1,2,2563.3104114908087
624,7,4,1,1,5101.054988784382
459,5,5,0,1,3061.849134384355
995,6,2,1,3,6793.207462206254
191,7,4,1,2,1442.7577746500338
545,3,6,0,4,2090.859921404371
201,4,5,1,4,843.9645229982513
1941,7,6,1,1,15296.843954684644
786,6,5,0,1,5998.855710371931
1396,6,3,0,1,10072.867444041833
1371,6,6,1,3,9688.729905401764
931,1,1,0,3,1012.3930142079357
1579,5,5,0,4,8990.552470889512
998,7,6,0,3,9425.683543414538
1038,1,3,1,1,960.6405519220206
1976,6,2,1,3,11771.713374720366
1656,2,5,1,3,3419.3759400993313
947,6,6,1,3,5176.022326234325
141,7,6,0,1,1282.2099754305266
1377,1,6,0,2,1634.014215982798
1180,2,3,1,4,2265.272190291606
